,dist_to_greenspace,dist_to_edu,bike_points,bus_stops,business_shops,traffic_signals,cycle_length,dem_std,lst_mean,pop_sum,build_area,ndvi_mean,dist_to_bikePOI,dist_to_train,3_way_int_count,median_speed,orientation_entropy
dist_to_greenspace,1.0,0.4465365063828454,0.15888377272124718,0.10929528984458046,0.06191861263945147,0.03744213170842009,-0.15036345933537987,0.12645909263098332,0.029473238198139823,0.15177912026711363,0.07738715245356671,-0.044825120861295906,0.31438319211162236,0.23776941043754526,0.0041285265464251165,0.052427170387096565,-0.03145755478160952
dist_to_edu,0.4465365063828454,1.0,0.2201501584787244,0.17752159895551534,0.06322320290573565,0.003060614788905496,-0.1627248174502456,0.1260148341006838,0.019153202876914834,0.23369458586335065,0.10262876096812394,-0.04939407666482879,0.3550883595346498,0.31386327091331173,-0.015181959597525494,-0.0002734484113577118,-0.010057928012533189
bike_points,0.15888377272124718,0.2201501584787244,1.0,0.38233684069233276,0.35481480853438846,0.2857365667893262,0.008733981753899958,0.12313226258211328,-0.017711457540083707,0.34224803327906894,0.45161383313463055,-0.26654807282991,-0.02108729166915413,0.21152596034978421,0.12821403094715494,-0.04506041855995544,0.045544787196775384
bus_stops,0.10929528984458046,0.17752159895551534,0.38233684069233276,1.0,0.4038021015173909,0.3769160816237401,0.05251675611682036,0.1383697863076358,-0.16497904075988024,0.27741121787605655,0.4404746518202837,-0.28795249864632194,-0.011709488014431542,0.10871251793782073,0.30272277786225293,-0.003199204890238391,0.219283589979732
business_shops,0.06191861263945147,0.06322320290573565,0.35481480853438846,0.4038021015173909,1.0,0.36217037237909755,0.051649484236840376,-0.0036723098896864923,-0.05227992817171597,0.3178315587440556,0.4536252321009966,-0.2501142694562478,-0.07026179024652103,0.003119081449970573,0.17076644958453926,-0.05842270087802685,0.13420554485395794
traffic_signals,0.03744213170842009,0.003060614788905496,0.2857365667893262,0.3769160816237401,0.36217037237909755,1.0,0.33409200799407923,0.010365083330491178,0.13351802066256888,0.26000470942093795,0.46568527020579237,-0.37717853018600656,-0.07857906939239069,-0.021514867628895176,0.36422569828089846,0.08812903366068855,0.21396596904688914
cycle_length,-0.15036345933537987,-0.1627248174502456,0.008733981753899958,0.05251675611682036,0.051649484236840376,0.33409200799407923,1.0,-0.158664076792201,-0.10440170207484557,-0.09864363413397517,0.017252494911425956,0.0430433706913331,-0.16815407947683875,-0.13006345126312405,0.16399904124527523,0.04221562860780701,0.2605016983092974
dem_std,0.12645909263098332,0.1260148341006838,0.12313226258211328,0.1383697863076358,-0.0036723098896864923,0.010365083330491178,-0.158664076792201,1.0,-0.01911421212451631,0.03921780546482074,0.0635373464832987,-0.13540322624749815,0.11723283360228949,0.1113243851093062,-0.14151867586004807,0.0840276882611364,-0.06226320328636483
lst_mean,0.029473238198139823,0.019153202876914834,-0.017711457540083707,-0.16497904075988024,-0.05227992817171597,0.13351802066256888,-0.10440170207484557,-0.01911421212451631,1.0,0.08146834079758801,0.125293309499964,-0.24942382255772005,0.04974007943621075,-0.056231860530408156,0.021772927318393254,0.015905985208706265,-0.1724408987450259
pop_sum,0.15177912026711363,0.23369458586335065,0.34224803327906894,0.27741121787605655,0.3178315587440556,0.26000470942093795,-0.09864363413397517,0.03921780546482074,0.08146834079758801,1.0,0.4623215604525566,-0.2946368799270387,0.004745168894143829,0.017559048666475383,0.22848080553162695,-0.09602079200849756,0.03863376951444044
build_area,0.07738715245356671,0.10262876096812394,0.45161383313463055,0.4404746518202837,0.4536252321009966,0.46568527020579237,0.017252494911425956,0.0635373464832987,0.125293309499964,0.4623215604525566,1.0,-0.6108756331511737,-0.08272162072504412,0.03384405710433457,0.4212481648011289,-0.08133573840321685,0.19738413962723458
ndvi_mean,-0.044825120861295906,-0.04939407666482879,-0.26654807282991,-0.28795249864632194,-0.2501142694562478,-0.37717853018600656,0.0430433706913331,-0.13540322624749815,-0.24942382255772005,-0.2946368799270387,-0.6108756331511737,1.0,-0.008741829545851516,-0.058581363048438,-0.26643257556191213,0.024233899045237987,-0.040494422933536174
dist_to_bikePOI,0.31438319211162236,0.3550883595346498,-0.02108729166915413,-0.011709488014431542,-0.07026179024652103,-0.07857906939239069,-0.16815407947683875,0.11723283360228949,0.04974007943621075,0.004745168894143829,-0.08272162072504412,-0.008741829545851516,1.0,0.310142538001151,-0.06946430489705195,0.020206236420950655,-0.07640992719085513
dist_to_train,0.23776941043754526,0.31386327091331173,0.21152596034978421,0.10871251793782073,0.003119081449970573,-0.021514867628895176,-0.13006345126312405,0.1113243851093062,-0.056231860530408156,0.017559048666475383,0.03384405710433457,-0.058581363048438,0.310142538001151,1.0,-0.03651464292735949,0.021329370679885055,-0.02306051187778774
